id,photo1_url,photo2_url
148347304,https://basket-10.wb.ru/vol1483/part148347/148347304/images/big/2.jpg, https://basket-10.wb.ru/vol1483/part148347/148347304/images/big/3.jpg, 
92347532,https://basket-05.wb.ru/vol923/part92347/92347532/images/big/2.jpg, https://basket-05.wb.ru/vol923/part92347/92347532/images/big/3.jpg, 
28662724,https://basket-02.wb.ru/vol286/part28662/28662724/images/big/2.jpg, https://basket-02.wb.ru/vol286/part28662/28662724/images/big/3.jpg, 
8785994,https://basket-01.wb.ru/vol87/part8785/8785994/images/big/2.jpg, https://basket-01.wb.ru/vol87/part8785/8785994/images/big/3.jpg, 
19402143,https://basket-02.wb.ru/vol194/part19402/19402143/images/big/2.jpg, https://basket-02.wb.ru/vol194/part19402/19402143/images/big/3.jpg, 
15882776,https://basket-02.wb.ru/vol158/part15882/15882776/images/big/2.jpg, https://basket-02.wb.ru/vol158/part15882/15882776/images/big/3.jpg, 
25928107,https://basket-02.wb.ru/vol259/part25928/25928107/images/big/2.jpg, https://basket-02.wb.ru/vol259/part25928/25928107/images/big/3.jpg, 
25928102,https://basket-02.wb.ru/vol259/part25928/25928102/images/big/2.jpg, https://basket-02.wb.ru/vol259/part25928/25928102/images/big/3.jpg, 
148347308,https://basket-10.wb.ru/vol1483/part148347/148347308/images/big/2.jpg, https://basket-10.wb.ru/vol1483/part148347/148347308/images/big/3.jpg, 
28662731,https://basket-02.wb.ru/vol286/part28662/28662731/images/big/2.jpg, https://basket-02.wb.ru/vol286/part28662/28662731/images/big/3.jpg, 
7301542,https://basket-01.wb.ru/vol73/part7301/7301542/images/big/2.jpg, https://basket-01.wb.ru/vol73/part7301/7301542/images/big/3.jpg, 
16981134,https://basket-02.wb.ru/vol169/part16981/16981134/images/big/2.jpg, https://basket-02.wb.ru/vol169/part16981/16981134/images/big/3.jpg, 
45366492,https://basket-04.wb.ru/vol453/part45366/45366492/images/big/2.jpg, https://basket-04.wb.ru/vol453/part45366/45366492/images/big/3.jpg, 
25928094,https://basket-02.wb.ru/vol259/part25928/25928094/images/big/2.jpg, https://basket-02.wb.ru/vol259/part25928/25928094/images/big/3.jpg, 
170209069,https://basket-12.wb.ru/vol1702/part170209/170209069/images/big/2.jpg, https://basket-12.wb.ru/vol1702/part170209/170209069/images/big/3.jpg, 
162935934,https://basket-11.wb.ru/vol1629/part162935/162935934/images/big/2.jpg, https://basket-11.wb.ru/vol1629/part162935/162935934/images/big/3.jpg, 
